source_id,target_id,mediator_ids,full_path,hop_count
6256,5819,"[7154, 3816, 3484]","[6256, 7154, 3816, 3484, 5819]",4
7447,1675,"[1729, 7768, 1904]","[7447, 1729, 7768, 1904, 1675]",4
5751,4806,"[5534, 7360, 960, 7399]","[5751, 5534, 7360, 960, 7399, 4806]",5
6912,207,"[4137, 8692, 9737, 5115]","[6912, 4137, 8692, 9737, 5115, 207]",5
7466,5241,"[8783, 7033, 9327, 1550]","[7466, 8783, 7033, 9327, 1550, 5241]",5
4182,8685,"[1559, 6286]","[4182, 1559, 6286, 8685]",3
149,9625,"[4909, 7962]","[149, 4909, 7962, 9625]",3
844,3892,"[5188, 5507, 7741, 9944]","[844, 5188, 5507, 7741, 9944, 3892]",5
2239,3224,"[3962, 652, 5288, 5482, 832]","[2239, 3962, 652, 5288, 5482, 832, 3224]",6
6337,5197,"[7398, 9079, 1617, 7087]","[6337, 7398, 9079, 1617, 7087, 5197]",5
8755,8106,"[7700, 3188, 4609, 5726]","[8755, 7700, 3188, 4609, 5726, 8106]",5
5752,3977,"[10105, 9688]","[5752, 10105, 9688, 3977]",3
5715,5761,"[9290, 4175, 7979, 7838, 9468]","[5715, 9290, 4175, 7979, 7838, 9468, 5761]",6
3463,6797,"[9547, 5767, 555]","[3463, 9547, 5767, 555, 6797]",4
8587,8949,"[2490, 8773]","[8587, 2490, 8773, 8949]",3
6184,9781,"[9553, 8213, 8706]","[6184, 9553, 8213, 8706, 9781]",4
6974,7271,"[2806, 8304, 8950]","[6974, 2806, 8304, 8950, 7271]",4
2451,9531,"[5255, 8480]","[2451, 5255, 8480, 9531]",3
9792,7185,"[704, 5374, 5859]","[9792, 704, 5374, 5859, 7185]",4
7079,4361,"[7645, 8707, 9649, 10140, 2180]","[7079, 7645, 8707, 9649, 10140, 2180, 4361]",6
3324,3635,"[2665, 7890]","[3324, 2665, 7890, 3635]",3
188,849,"[7319, 1203, 5115, 9869, 8159]","[188, 7319, 1203, 5115, 9869, 8159, 849]",6
6243,2995,"[10128, 6292, 8296, 9102, 9758]","[6243, 10128, 6292, 8296, 9102, 9758, 2995]",6
6668,9012,"[8528, 9596, 5099, 8296, 8931]","[6668, 8528, 9596, 5099, 8296, 8931, 9012]",6
