source_id,target_id,src_profile,tgt_profile,relationship_level,tweet_id
5871,3082,"Feature_Vector: [1.0, 1.0, 0.0, 0.486001580953598, 0.0]","Feature_Vector: [1.0, 0.0, 1.0, 0.5919924974441528, 0.0]",1,tweet_3082_1017449
2588,6779,"Feature_Vector: [1.0, 0.0, 0.0, 0.36769765615463257, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3820420801639557, 0.0]",2,tweet_6779_1292640
3136,6117,"Feature_Vector: [1.0, 1.0, 0.0, 0.3600333034992218, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3767619729042053, 0.0]",1,tweet_6117_402858
9526,3055,"Feature_Vector: [0.0, 0.0, 0.0, 0.4491249620914459, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.4273224472999573, 0.0]",1,tweet_3055_630138
4469,5172,"Feature_Vector: [0.0, 0.0, 0.0, 0.30728039145469666, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.4614177644252777, 0.0]",1,tweet_5172_449048
882,9738,"Feature_Vector: [1.0, 1.0, 0.0, 0.395845502614975, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.45278191566467285, 0.0]",1,tweet_9738_317583
8466,1973,"Feature_Vector: [1.0, 1.0, 0.0, 0.4662090837955475, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.24357321858406067, 0.0]",1,tweet_1973_234166
441,7207,"Feature_Vector: [1.0, 1.0, 0.0, 0.3355613350868225, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.508985161781311, 0.0]",1,tweet_7207_302844
4492,3292,"Feature_Vector: [1.0, 1.0, 0.0, 0.48578622937202454, 0.0]","Feature_Vector: [0.0, 0.0, 0.0, 0.5857887268066406, 0.0]",1,tweet_3292_450025
7654,8846,"Feature_Vector: [1.0, 1.0, 0.0, 0.1838071197271347, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.3003002405166626, 1.0]",1,tweet_8846_214362
1260,10099,"Feature_Vector: [1.0, 0.0, 0.0, 0.23191697895526886, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.13527844846248627, 0.0]",2,tweet_10099_1258809
3206,9884,"Feature_Vector: [1.0, 1.0, 0.0, 0.33857277035713196, 0.0]","Feature_Vector: [1.0, 1.0, 0.0, 0.36487841606140137, 0.0]",1,tweet_9884_88610
